typeEntretien,periodicite
Nettoyage coupelles antiadhésives,TOUTES LES 12 HEURES
Essuyage résidus fromage,TOUTES LES 12 HEURES
Vérif visuelle résistances,TOUTES LES 12 HEURES
Nettoyage surface plaque grill,TOUTES LES 12 HEURES
Lavage complet coupelles,TOUS LES JOURS
Nettoyage plaque cuisson,TOUS LES JOURS
Dégraissage surfaces externes,TOUS LES JOURS
Vérif câble alimentation,TOUS LES JOURS
Nettoyage bac graisse,TOUS LES JOURS
Nettoyage résistances accessibles,TOUS LES 3 JOURS
Vérif thermostat,TOUS LES 3 JOURS
Nettoyage supports coupelles,TOUS LES 3 JOURS
Inspection poignées isolantes,TOUS LES 3 JOURS
Démontage partiel nettoyage léger,TOUTES LES SEMAINES
Vérif fixations vis supports,TOUTES LES SEMAINES
Nettoyage modèles grill-pierrade,TOUTES LES SEMAINES
Inspection plaques amovibles,TOUTES LES SEMAINES
Test chauffe homogène,TOUTES LES SEMAINES
Nettoyage multifonction renforcé,TOUTES LES DEUX SEMAINES
Vérif revêtement antiadhésif,TOUTES LES DEUX SEMAINES
Contrôle voyants lumineux,TOUTES LES DEUX SEMAINES
Nettoyage zones difficiles accès,TOUTES LES DEUX SEMAINES
Entretien général machine,TOUS LES MOIS
Vérif stabilité structure,TOUS LES MOIS
Nettoyage profond grill pierre,TOUS LES MOIS
Contrôle consommation électrique,TOUS LES MOIS
Inspection composants internes,TOUS LES MOIS
Révision résistances chauffantes,TOUS LES TROIS MOIS
Vérif régulation thermique,TOUS LES TROIS MOIS
Entretien modèles grande tablées,TOUS LES TROIS MOIS
Nettoyage technique circuits,TOUS LES TROIS MOIS
Contrôle usure plaques pierres,TOUS LES TROIS MOIS
Maintenance semi-complète,TOUS LES SIX MOIS
Remplacement pièces usées,TOUS LES SIX MOIS
Sécurité électrique approfondie,TOUS LES SIX MOIS
Entretien modèles professionnels,TOUS LES SIX MOIS
Calibration thermostat,TOUS LES NEUF MOIS
Vérif performances chauffe,TOUS LES NEUF MOIS
Inspection multifonction avancée,TOUS LES NEUF MOIS
Révision complète certifiée,UNE FOIS PAR AN
Nettoyage intégral interne externe,UNE FOIS PAR AN
Test conformité sécurité,UNE FOIS PAR AN
Remplacement composants critiques,TOUS LES DEUX ANS
Mise à niveau technique,TOUS LES DEUX ANS
Rénovation complète machine,TOUS LES CINQ ANS